/home/chris/miniconda3/envs/marlo/bin/python /home/chris/Desktop/lunar-lander/train_agent1.py --verbose --overwrite
/home/chris/miniconda3/envs/marlo/lib/python3.6/site-packages/gymnasium/core.py:27: UserWarning: WARN: Gymnasium minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+
  "Gymnasium minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+"
/home/chris/miniconda3/envs/marlo/lib/python3.6/site-packages/gym/core.py:27: UserWarning: WARN: Gym minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+
  "Gym minimally supports python 3.6 as the python foundation not longer supports the version, please update your version to 3.7+"
dimension of state space = 15
number of actions = 7
| episode | return          | minimal return      | mean return        |
|         | (this episode)  | (last 20 episodes)  | (last 20 episodes) |
|-----------------------------------------------------------------------

|     316 |     -212.800    |       -216.600      |      -176.730      |

|     317 |     -209.700    |       -216.600      |      -176.475      |

|     318 |     -226.900    |       -226.900      |      -177.495      |

|     319 |     -182.500    |       -226.900      |      -180.365      |

|     320 |     -217.500    |       -226.900      |      -183.685      |

|     321 |     -219.700    |       -226.900      |      -184.750      |

|     322 |     -202.100    |       -226.900      |      -193.430      |

|     323 |     -209.700    |       -226.900      |      -203.755      |

|     324 |     -177.300    |       -226.900      |      -202.840      |

|     325 |     -211.300    |       -226.900      |      -204.500      |

|     326 |     -216.600    |       -226.900      |      -204.665      |

|     327 |     -158.700    |       -226.900      |      -201.770      |

|     328 |     -182.100    |       -226.900      |      -200.625      |

|     329 |     -201.300    |       -226.900      |      -200.940      |

|     330 |     -216.500    |       -226.900      |      -201.910      |

|     331 |     -212.900    |       -226.900      |      -202.205      |

|     332 |      -10.100    |       -226.900      |      -192.105      |

|     333 |     -210.000    |       -226.900      |      -195.065      |

|     334 |     -165.500    |       -226.900      |      -192.635      |

|     335 |      174.200    |       -226.900      |      -173.450      |

|     336 |     -202.200    |       -226.900      |      -172.920      |

|     337 |     -137.500    |       -226.900      |      -169.310      |

|     338 |     -140.800    |       -219.700      |      -165.005      |

|     339 |     -173.400    |       -219.700      |      -164.550      |

|     340 |     -152.300    |       -219.700      |      -161.290      |

|     341 |     -195.100    |       -216.600      |      -160.060      |

|     342 |     -216.800    |       -216.800      |      -160.795      |

|     343 |     -182.500    |       -216.800      |      -159.435      |

|     344 |     -154.900    |       -216.800      |      -158.315      |

|     345 |     -132.600    |       -216.800      |      -154.380      |

|     346 |     -219.900    |       -219.900      |      -154.545      |

|     347 |     -199.500    |       -219.900      |      -156.585      |

|     348 |     -211.500    |       -219.900      |      -158.055      |

|     349 |     -221.200    |       -221.200      |      -159.050      |

|     350 |     -200.800    |       -221.200      |      -158.265      |

|     351 |     -211.100    |       -221.200      |      -158.175      |

|     352 |     -217.300    |       -221.200      |      -168.535      |

|     353 |     -215.700    |       -221.200      |      -168.820      |

|     354 |     -209.100    |       -221.200      |      -171.000      |

|     355 |      -15.000    |       -221.200      |      -180.460      |

|     356 |     -187.600    |       -221.200      |      -179.730      |

|     357 |       38.200    |       -221.200      |      -170.945      |

|     358 |     -175.300    |       -221.200      |      -172.670      |

|     359 |       29.000    |       -221.200      |      -162.550      |

|     360 |     -213.200    |       -221.200      |      -165.595      |

|     361 |     -175.600    |       -221.200      |      -164.620      |

|     362 |     -172.100    |       -221.200      |      -162.385      |

|     363 |     -185.700    |       -221.200      |      -162.545      |

|     364 |        6.100    |       -221.200      |      -154.495      |

